AOapek,Karel,Karel AOapek
Boethius,Anicius Manlius Severinus,Anicius Manlius Severinus Boethius
Bois,W. E. B. Du,W. E. B. Du Bois
Bok,Christian,Christian Bok
Bolauo,Roberto,Roberto Bolauo
Boldrewood,Rolf,Rolf Boldrewood
Bolton,Ken,Ken Bolton
Bon,Gustave Le,Gustave Le Bon
Bonaventure,,Bonaventure
Boo,Katherine,Katherine Boo
Boothby,Guy,Guy Boothby
Borges,Jorge Luis,Jorge Luis Borges
Borrow,George,George Borrow
Boswell,James,James Boswell
Bourdain,Anthony,Anthony Bourdain
Bouvier,Nicolas,Nicolas Bouvier
Bradbury,Ray,Ray Bradbury
Braddon,M. E.,M. E. Braddon
Bramah,Ernest,Ernest Bramah
Brathwaite,Kamau,Kamau Brathwaite
Braudel,Fernand,Fernand Braudel
Brazil,Angela,Angela Brazil
Brecht,Bertolt,Bertolt Brecht
Bredero,G. A.,G. A. Bredero
Brent,Linda,Linda Brent
Brentano,Franz,Franz Brentano
Breton,Andre,Andre Breton
Brink,Carol Ryrie,Carol Ryrie Brink
Britannica,Encyclopedia,Encyclopedia Britannica
Brittain,Vera,Vera Brittain
Bromfield,Louis,Louis Bromfield
BrontA',Anne,Anne BrontA'
BrontA',Charlotte,Charlotte BrontA'
BrontA',Emily,Emily BrontA'
Bronte,Anne,Anne Bronte
Bronte,Charlotte,Charlotte Bronte
Bronte,Emily,Emily Bronte
Brooks,Gwendolyn,Gwendolyn Brooks
Brown,Dan,Dan Brown
Brown,Dee Alexander,Dee Alexander Brown
Brown,Sterling Allen,Sterling Allen Brown
Brown,William Wells,William Wells Brown
Browning,Elizabeth Barrett,Elizabeth Barrett Browning
Browning,Robert,Robert Browning
Brownmiller,Susan,Susan Brownmiller
Bruyere,Jean de La,Jean de La Bruyere
Bryl,Yanka,Yanka Bryl
Buber,Martin,Martin Buber
Buchan,John,John Buchan
Buchner,Georg,Georg Buchner
Buck,Pearl S.,Pearl S. Buck
Budrys,Algis,Algis Budrys
Bulfinch,Thomas,Thomas Bulfinch
Bulgakov,Mikhail,Mikhail Bulgakov
Bulwer-Lytton,Edward,Edward Bulwer-Lytton
Bunin,Ivan,Ivan Bunin
Bunyan,John,John Bunyan
Burger,Gottfried,Gottfried Burger
Burgess,Anthony,Anthony Burgess
Burgess,Thornton W.,Thornton W. Burgess
Burke,Edmund,Edmund Burke
Burnett,Frances Hodgson,Frances Hodgson Burnett
Burney,Fanny,Fanny Burney
Burnford,Sheila,Sheila Burnford
Burnham,James,James Burnham
Burns,Robert,Robert Burns
Burns,Walter Noble,Walter Noble Burns
Burroughs,Edgar Rice,Edgar Rice Burroughs
Burroughs,William S.,William S. Burroughs
Burton,Richard F.,Richard F. Burton
Burton,Robert,Robert Burton
Butler,Judith,Judith Butler
Butler,Samuel,Samuel Butler
Butterworth,By Jez,By Jez Butterworth
Byars,Betsy Cromer,Betsy Cromer Byars
Byatt,A. S.,A. S. Byatt
Byron,Lord,Lord Byron
Byron,Robert,Robert Byron
Cabell,James Branch,James Branch Cabell
Caesar,Julius,Julius Caesar
Caffin,Elizabeth,Elizabeth Caffin
Campbell,John W.,John W. Campbell
Campbell,Joseph,Joseph Campbell
Camunes,Luis Vaz,Luis Vaz Camunes
Camus,Albert,Albert Camus
Canetti,Elias,Elias Canetti
Canterbury,Saint Anselm of,Saint Anselm of Canterbury
Capote,Truman,Truman Capote
Card,Orson Scott,Orson Scott Card
Carlyle,Thomas,Thomas Carlyle
Carnap,Rudolf,Rudolf Carnap
Carnegie,Dale,Dale Carnegie
Caro,Robert,Robert Caro
Carolino,Pedro,Pedro Carolino
Carre,John Le,John Le Carre
Carroll,Lewis,Lewis Carroll
Carson,Anne,Anne Carson
Carson,Rachel,Rachel Carson
Casanova,Giacomo,Giacomo Casanova
Cassirer,Ernst,Ernst Cassirer
Castillo,Bernal Diaz del,Bernal Diaz del Castillo
Cather,Willa,Willa Cather
Cats,Jacob,Jacob Cats
Catton,Bruce,Bruce Catton
Catullus,,Catullus
Catulus,Quintus Lutatius,Quintus Lutatius Catulus
Cavafy,C. P.,C. P. Cavafy
Cavendish,Margaret,Margaret Cavendish
Cela,Camilo Jose,Camilo Jose Cela
Celan,Paul,Paul Celan
Cendrars,Blaise,Blaise Cendrars
Cernuda,Luis,Luis Cernuda
Cervantes,Miguel de,Miguel de Cervantes
Cesaire,Aime,Aime Cesaire
Cha,Theresa Hak Kyung,Theresa Hak Kyung Cha
Chambers,Robert W.,Robert W. Chambers
Chambers,Whittaker,Whittaker Chambers
Chang,Jung,Jung Chang
Char,Rene,Rene Char
Chateaubriand,Francois-Auguste-Rene de,Francois-Auguste-Rene de Chateaubriand
Chaucer,Geoffrey,Geoffrey Chaucer
Chekhov,Anton,Anton Chekhov
Cherry-Garrard,Apsley,Apsley Cherry-Garrard
Chesnutt,Charles W.,Charles W. Chesnutt
Chesterton,G. K.,G. K. Chesterton
Chevalier,Tracy,Tracy Chevalier
Childers,Erskine,Erskine Childers
China,,China
Chomsky,Noam,Noam Chomsky
Chopin,Kate,Kate Chopin
Christensen,Inger,Inger Christensen
Christianopoulos,Dinos,Dinos Christianopoulos
Christie,Agatha,Agatha Christie
Church,Christian,Christian Church
Churchill,Caryl,Caryl Churchill
Churchill,Winston,Winston Churchill
Cicero,,Cicero
Cioran,Emil,Emil Cioran
Cisneros,Sandra,Sandra Cisneros
Clark,Heather L.,Heather L. Clark
Clarke,John Cooper,John Cooper Clarke
Claus,Hugo,Hugo Claus
Cleary,Beverly,Beverly Cleary
Cleyre,Voltairine de,Voltairine de Cleyre
Clifton,Lucille,Lucille Clifton
Coates,Ta-Nehisi,Ta-Nehisi Coates
Cody,William F.,William F. Cody
Coelho,Paulo,Paulo Coelho
Cohn,Norman,Norman Cohn
Coleridge,Samuel Taylor,Samuel Taylor Coleridge
Coles,Robert,Robert Coles
Colfer,Eoin,Eoin Colfer
Collingwood,R. G.,R. G. Collingwood
Collins,Suzanne,Suzanne Collins
Collins,Wilkie,Wilkie Collins
Collodi,Carlo,Carlo Collodi
Comp,James A. Emanuel,James A. Emanuel Comp
Compton-Burnett,Ivy,Ivy Compton-Burnett
Comte,Auguste,Auguste Comte
Condorcet,Marie-Jean-Antoine-Nicolas de Caritat marquis de,Marie-Jean-Antoine-Nicolas de Caritat marquis de Condorcet
Confucius,,Confucius
Congreve,William,William Congreve
Connington,J. J.,J. J. Connington
Conquest,Robert,Robert Conquest
Conrad,Joseph,Joseph Conrad
Conran,Terence,Terence Conran
Coolidge,Calvin,Calvin Coolidge
Cooper,Anna Julia,Anna Julia Cooper
Cooper,James Fenimore,James Fenimore Cooper
Cooper,Susan,Susan Cooper
Corbiere,Tristan,Tristan Corbiere
Cormier,Robert,Robert Cormier
Corneille,Pierre,Pierre Corneille
Cousteau,Jacques,Jacques Cousteau
Coward,NoA'l,NoA'l Coward
Coward,Noel,Noel Coward
Craft,Ellen,Ellen Craft
Craft,William,William Craft
Crane,Stephen,Stephen Crane
Craveirinha,Jose,Jose Craveirinha
Crawford,F. Marion,F. Marion Crawford
Creech,Sharon,Sharon Creech
Crichton,Michael,Michael Crichton
Crisp,Quentin,Quentin Crisp
Crispin,Edmund,Edmund Crispin
Croce,Benedetto,Benedetto Croce
Crofts,Freeman Wills,Freeman Wills Crofts
Croix,Jean de la,Jean de la Croix
Crompton,Richmal,Richmal Crompton
Crosby,Ernest Howard,Ernest Howard Crosby
Cross,St. John of the,St. John of the Cross
Cruz,San Juan de la,San Juan de la Cruz
Cummings,E. E.,E. E. Cummings
Curie,Marie,Marie Curie
Curtis,Christopher Paul,Christopher Paul Curtis
Cushing,Frank Hamilton,Frank Hamilton Cushing
Dahl,Roald,Roald Dahl
Dangerfield,George,George Dangerfield
Dao,Bei,Bei Dao
Darwin,Charles,Charles Darwin
Darwish,Mahmoud,Mahmoud Darwish
Das,Kamala,Kamala Das
Dashkova,Ekaterina Romanovna,Ekaterina Romanovna Dashkova
