AOapek,Karel,Karel AOapek
Jacobs,W. W.,W. W. Jacobs
Jacobsen,J. P.,J. P. Jacobsen
Jacopetti,Alexandra,Alexandra Jacopetti
Jacottet,Philippe,Philippe Jacottet
James,Henry,Henry James
James,M. R.,M. R. James
James,Will,Will James
James,William,William James
Jarrell,Randall,Randall Jarrell
Jay,John,John Jay
Jefferies,Richard,Richard Jefferies
Jerome,Jerome K.,Jerome K. Jerome
Jewett,Sarah Orne,Sarah Orne Jewett
Jimenez,Juan Ramon,Juan Ramon Jimenez
Johnson,Captain Charles,Captain Charles Johnson
Johnson,E. Pauline,E. Pauline Johnson
Johnson,Georgia Douglas,Georgia Douglas Johnson
Johnson,James Weldon,James Weldon Johnson
Johnson,Owen,Owen Johnson
Johnson,Paul,Paul Johnson
Johnson,Reverend Samuel,Reverend Samuel Johnson
Johnson,Samuel,Samuel Johnson
Jones,David,David Jones
Jonson,Ben,Ben Jonson
Joyce,James,James Joyce
Jr.,Horatio Alger,Horatio Alger Jr.
Jr.,Richard Henry Dana,Richard Henry Dana Jr.
Jr.,Walter M. Miller,Walter M. Miller Jr.
Jr.,William Strunk,William Strunk Jr.
Judaeus,Philo,Philo Judaeus
Judt,Tony,Tony Judt
Jun'ichiro,Tanizaki,Tanizaki Jun'ichiro
Jung,Carl,Carl Jung
Junger,Ernst,Ernst Junger
Juster,Norton,Norton Juster
Juvenal,,Juvenal
Kafka,Franz,Franz Kafka
Kahneman,Daniel,Daniel Kahneman
Kakuzo,Okakura,Okakura Kakuzo
Kalidasa,,Kalidasa
Kalvos,Andreas,Andreas Kalvos
Kaminsky,Ilya,Ilya Kaminsky
Kane,Sarah,Sarah Kane
Kant,Immanuel,Immanuel Kant
Kapuscinski,Ryszard,Ryszard Kapuscinski
Karam,Stephan,Stephan Karam
Karena-Holmes,David,David Karena-Holmes
Karr,Mary,Mary Karr
Karyotakis,Kostas,Kostas Karyotakis
Katsaros,Michalis,Michalis Katsaros
Kavanagh,Herminie Templeton,Herminie Templeton Kavanagh
Kavanagh,Patrick,Patrick Kavanagh
Kazantzakis,Nikos,Nikos Kazantzakis
Keats,John,John Keats
Keefe,Patrick Radden,Patrick Radden Keefe
Keegan,John,John Keegan
Keller,Helen,Helen Keller
Kelly,Dennis,Dennis Kelly
Kempis,Thomas A ,Thomas A  Kempis
Keneally,Thomas,Thomas Keneally
Kenyatta,Jomo,Jomo Kenyatta
Kenyon,Jane,Jane Kenyon
Kerouac,Jack,Jack Kerouac
Kesey,Ken,Ken Kesey
Keyes,Daniel,Daniel Keyes
Keynes,John Maynard,John Maynard Keynes
Khayyam,Omar,Omar Khayyam
Khlebnikov,Velimir,Velimir Khlebnikov
Kidd,Sue Monk,Sue Monk Kidd
Kierkegaard,Soren,Soren Kierkegaard
King,Martin Luther,Martin Luther King
King,Stephen,Stephen King
Kinglake,Alexander William,Alexander William Kinglake
Kingsley,Charles,Charles Kingsley
Kingsolver,Barbara,Barbara Kingsolver
Kingston,Maxine Hong,Maxine Hong Kingston
Kinnell,Galway,Galway Kinnell
Kinney,Jeff,Jeff Kinney
Kinsey,Alfred C.,Alfred C. Kinsey
Kipling,Rudyard,Rudyard Kipling
Kirk,Russell,Russell Kirk
Kirkwood,Lucy,Lucy Kirkwood
Kitaro,Nishida,Nishida Kitaro
Kleinbaum,N. H.,N. H. Kleinbaum
Kleinzahler,August,August Kleinzahler
Knausgaard,Karl Ove,Karl Ove Knausgaard
Knight,E. F.,E. F. Knight
Knowles,John,John Knowles
Knox,Ronald A.,Ronald A. Knox
Koestler,Arthur,Arthur Koestler
Kolbert,Elizabeth,Elizabeth Kolbert
Kolesnik,Vladimir,Vladimir Kolesnik
Konigsburg,E. L.,E. L. Konigsburg
Kornbluth,C. M.,C. M. Kornbluth
Korolenko,Vladimir,Vladimir Korolenko
Krakauer,Jon,Jon Krakauer
Kripke,Saul,Saul Kripke
Kropotkin,Peter,Peter Kropotkin
Kuhn,Thomas S.,Thomas S. Kuhn
Kuhn,Thomas,Thomas Kuhn
Kulbak,Moyshe,Moyshe Kulbak
Kuprin,Aleksandr,Aleksandr Kuprin
Kurlansky,Mark,Mark Kurlansky
Kushner,Tony,Tony Kushner
Kuttner,Henry,Henry Kuttner
L'Engle,Madeleine,Madeleine L'Engle
LaA'rtius,Diogenes,Diogenes LaA'rtius
Lacan,Jacques,Jacques Lacan
Laclos,Choderlos de,Choderlos de Laclos
Laclos,Pierre Choderlos de,Pierre Choderlos de Laclos
Lafferty,R. A.,R. A. Lafferty
Lagerlof,Selma,Selma Lagerlof
Lampedusa,Giuseppe Tomasi di,Giuseppe Tomasi di Lampedusa
Lane,Rose Wilder,Rose Wilder Lane
Laozi,,Laozi
Larkin,Philip,Philip Larkin
Larsen,Nella,Nella Larsen
Larson,Erik,Erik Larson
Larsson,Stieg,Stieg Larsson
Lautreamont,Comte de,Comte de Lautreamont
Lawrence,D. H.,D. H. Lawrence
Lawrence,T. E.,T. E. Lawrence
Lawson,Henry,Henry Lawson
Laye,Camara,Camara Laye
Lazic,Radmila,Radmila Lazic
LeBlanc,Adrian Nicole,Adrian Nicole LeBlanc
Leacock,Stephen,Stephen Leacock
Lear,Edward,Edward Lear
Leavis,F. R.,F. R. Leavis
Leblanc,Georgette,Georgette Leblanc
Leblanc,Maurice,Maurice Leblanc
Lee,Harper,Harper Lee
Lee,Laurie,Laurie Lee
Lee,Ulysses,Ulysses Lee
Lee-Hamilton,Eugene,Eugene Lee-Hamilton
Leiber,Fritz,Fritz Leiber
Leibniz,Gottfried Wilhelm,Gottfried Wilhelm Leibniz
Lenin,Vladimir Ilyich,Vladimir Ilyich Lenin
Leopardi,Giacomo,Giacomo Leopardi
Leopold,Aldo,Aldo Leopold
Leopold,J.H. H.,J.H. H. Leopold
Lermontov,Mikhail,Mikhail Lermontov
Lerner,Ben,Ben Lerner
Leroux,Gaston,Gaston Leroux
Lesage,Alain-RenE,Alain-RenE Lesage
Letts,Tracy,Tracy Letts
Levi,Carlo,Carlo Levi
Levi,Primo,Primo Levi
Levi-Strauss,Claude,Claude Levi-Strauss
Levinas,Emmanuel,Emmanuel Levinas
Levine,Philip,Philip Levine
Lewis,C. S.,C. S. Lewis
Lewis,David Kellogg,David Kellogg Lewis
Lewis,Edna,Edna Lewis
Lewis,M. G.,M. G. Lewis
Lewis,Matthew,Matthew Lewis
Lewis,Michael M.,Michael M. Lewis
Lewis,Sinclair,Sinclair Lewis
Lie,Jonas,Jonas Lie
Lincoln,Abraham,Abraham Lincoln
Linde,Gerrit van de,Gerrit van de Linde
Lindegren,Erik,Erik Lindegren
Lindgren,Astrid,Astrid Lindgren
Lindsay,David,David Lindsay
Lippmann,Walter,Walter Lippmann
Lleshanaku,Luljeta,Luljeta Lleshanaku
Locke,John,John Locke
Lofting,Hugh,Hugh Lofting
Logan,John,John Logan
London,Jack,Jack London
Lonergan,Bernard,Bernard Lonergan
Lonergan,Kenneth,Kenneth Lonergan
Long,Frank Belknap,Frank Belknap Long
Lonnrot,Elias,Elias Lonnrot
Loos,Anita,Anita Loos
Lorca,Federico Garcia,Federico Garcia Lorca
Lorde,Audre,Audre Lorde
Lorris,Guillaume de,Guillaume de Lorris
Lovecraft,H. P.,H. P. Lovecraft
Lowell,Robert,Robert Lowell
Lowndes,Marie Belloc,Marie Belloc Lowndes
Lowry,Lois,Lois Lowry
Loy,Mina,Mina Loy
Lucebert,,Lucebert
Lucretius,,Lucretius
Ludlow,Fitz Hugh,Fitz Hugh Ludlow
Ludwig,Emil,Emil Ludwig
Lyotard,Jean-Francois,Jean-Francois Lyotard
Lytton,Edward Bulwer,Edward Bulwer Lytton
MacDonald,George,George MacDonald
MacDonald,Helen,Helen MacDonald
MacLachlan,Patricia,Patricia MacLachlan
MacNeice,Louis,Louis MacNeice
Machado,Antonio,Antonio Machado
Machen,Arthur,Arthur Machen
Machiavelli,NiccolA2,NiccolA2 Machiavelli
Machiavelli,Niccolo,Niccolo Machiavelli
Mackenzie,Alexander,Alexander Mackenzie
Mackenzie,Compton,Compton Mackenzie
Madison,James,James Madison
Maeterlinck,Maurice,Maurice Maeterlinck
Magris,Claudio,Claudio Magris
Mailer,Norman,Norman Mailer
Maimonides,,Maimonides
Maimonides,Moses,Moses Maimonides
Maistre,Xavier de,Xavier de Maistre
Makriyannis,,Makriyannis
Malatesta,Errico,Errico Malatesta
Malcolm,Janet,Janet Malcolm
Mallarme,Stephane,Stephane Mallarme
Malory,Thomas,Thomas Malory
Mamet,David,David Mamet
Manchester,William,William Manchester
Mandela,Nelson,Nelson Mandela
Mandelstam,Osip,Osip Mandelstam
Mann,Thomas,Thomas Mann
Manrique,Jorge,Jorge Manrique
Manzoni,Alessandro,Alessandro Manzoni
Mao,,Mao
Marais,Eugene N.,Eugene N. Marais
Mare,Walter de la,Walter de la Mare
Marin,Mariana,Mariana Marin
Markham,Beryl,Beryl Markham
Marks,Percy,Percy Marks
Marlowe,Christopher,Christopher Marlowe
Marquez,Gabriel Garcia,Gabriel Garcia Marquez
Marsh,Richard,Richard Marsh
Marshall,Edison,Edison Marshall
Martel,Yann,Yann Martel
Martin,George R.R.,George R.R. Martin
Martinson,Harry,Harry Martinson
Marvell,Andrew,Andrew Marvell
Marx,Karl,Karl Marx
Masefield,John,John Masefield
Masterman,Walter S.,Walter S. Masterman
Masters,Edgar Lee,Edgar Lee Masters
Matthiessen,Peter,Peter Matthiessen
Mattingly,Garrett,Garrett Mattingly
Maturin,Charles Robert,Charles Robert Maturin
Maugham,W. Somerset,W. Somerset Maugham
Maupassant,Guy de,Guy de Maupassant
Maurier,Daphne Du,Daphne Du Maurier
Maurier,George du,George du Maurier
Mayakovsky,Vladimir,Vladimir Mayakovsky
Mayer,Bernadette,Bernadette Mayer
Mayrucker,Friederike,Friederike Mayrucker
McBride,James,James McBride
McCarthy,Cormac,Cormac McCarthy
McCourt,Frank,Frank McCourt
McCullers,Carson,Carson McCullers
McCulley,Johnston,Johnston McCulley
McCullough,Colleen,Colleen McCullough
McCutcheon,George Barr,George Barr McCutcheon
McDonagh,Martin,Martin McDonagh
McEwan,Ian,Ian McEwan
McLuhan,Marshall,Marshall McLuhan
McNeile,H. C.,H. C. McNeile
McNeill,William H.,William H. McNeill
McPherson,James M.,James M. McPherson
Mead,George Herbert,George Herbert Mead
Mead,Margaret,Margaret Mead
Melville,Herman,Herman Melville
Memmi,Albert,Albert Memmi
Mencius,,Mencius
Mencken,H. L.,H. L. Mencken
Mendelssohn,Moses,Moses Mendelssohn
Meredith,George,George Meredith
Merleau-Ponty,Maurice,Maurice Merleau-Ponty
Merritt,A.,A. Merritt
Merton,Thomas,Thomas Merton
Meyer,Stephenie,Stephenie Meyer
Mezzrow,Milton Mezz,Milton Mezz Mezzrow
Michaux,Henri,Henri Michaux
Mickiewicz,Adam,Adam Mickiewicz
Mill,John Stuart,John Stuart Mill
Millay,Edna St. Vincent,Edna St. Vincent Millay
Mille,James De,James De Mille
Miller,Arthur,Arthur Miller
Miller,Olive Beaupre,Olive Beaupre Miller
Millett,Kate,Kate Millett
Milne,A. A.,A. A. Milne
Milosz,Czeslaw,Czeslaw Milosz
Milton,John,John Milton
Minn,Ho Chi,Ho Chi Minn
Mirbeau,Octave,Octave Mirbeau
Mirrlees,Hope,Hope Mirrlees
Mirsky,Dmitry Svyatopolk,Dmitry Svyatopolk Mirsky
Mises,Ludwig von,Ludwig von Mises
Mistral,FrEdEric,FrEdEric Mistral
Mitchell,Margaret,Margaret Mitchell
Mitford,Jessica,Jessica Mitford
Mitra,S. M.,S. M. Mitra
MoliA're,,MoliA're
Moliere,,Moliere
Montague,C. E.,C. E. Montague
Montaigne,Michel de,Michel de Montaigne
Montale,Eugenio,Eugenio Montale
Montesquieu,,Montesquieu
Montgomery,L. M.,L. M. Montgomery
Moore,G. E.,G. E. Moore
Moore,G.E.,G.E. Moore
Moore,George Edward,George Edward Moore
Moore,Marianne,Marianne Moore
Moraga,Cherrie,Cherrie Moraga
More,Thomas,Thomas More
Morley,Christopher,Christopher Morley
Morris,Jan,Jan Morris
Morris,William,William Morris
Morrison,Toni,Toni Morrison
Morse,Ainsley,Ainsley Morse
Moss,Chloe,Chloe Moss
Mozi,,Mozi
Mphahlele,Es'kia,Es'kia Mphahlele
Muir,John,John Muir
Mukherjee,Siddhartha,Siddhartha Mukherjee
Mulvany,Kate,Kate Mulvany
Mumford,Lewis,Lewis Mumford
Murray,Les A.,Les A. Murray
Murray-Smith,Joanna,Joanna Murray-Smith
Musset,Alfred de,Alfred de Musset
Myrdal,Gunnar,Gunnar Myrdal
Nabokov,Vladimir Vladimirovich,Vladimir Vladimirovich Nabokov
Nabokov,Vladimir,Vladimir Nabokov
Nagarjuna,,Nagarjuna
Nancy,Jean-Luc,Jean-Luc Nancy
Naylor,Phyllis Reynolds,Phyllis Reynolds Naylor
Neihardt,John G.,John G. Neihardt
Nekrasov,Nikolay,Nikolay Nekrasov
Nelson,Maggie,Maggie Nelson
Neruda,Pablo,Pablo Neruda
Nerval,Gerard de,Gerard de Nerval
Nesbit,E.,E. Nesbit
Newman,John Henry,John Henry Newman
Newton,Isaac,Isaac Newton
Nexo,Martin Andersen,Martin Andersen Nexo
Neyshabouri,Attar,Attar Neyshabouri
Niane,Djibril Tamsir,Djibril Tamsir Niane
Niebuhr,Reinhold,Reinhold Niebuhr
Nietzsche,Friedrich,Friedrich Nietzsche
Niffenegger,Audrey,Audrey Niffenegger
Nijhoff,Martinus,Martinus Nijhoff
Nijo,Lady,Lady Nijo
Nisbet,Robert,Robert Nisbet
Nkrumah,Kwame,Kwame Nkrumah
Norris,Bruce,Bruce Norris
Norris,Frank,Frank Norris
Northup,Solomon,Solomon Northup
Norton,Andre,Andre Norton
Nottage,Lynn,Lynn Nottage
Novalis,,Novalis
Nowlan,Philip Francis,Philip Francis Nowlan
Nozick,Robert,Robert Nozick
Nuwas,Abu,Abu Nuwas
O'Brien,Robert C.,Robert C. O'Brien
O'Brien,Tim,Tim O'Brien
O'Flaherty,Liam,Liam O'Flaherty
O'Hara,Frank,Frank O'Hara
O'Neill,Eugene,Eugene O'Neill
Oakeshott,Michael,Michael Oakeshott
Obama,Barack,Barack Obama
Ockham,William of,William of Ockham
Okigbo,Christopher,Christopher Okigbo
Oliphant,Margaret,Margaret Oliphant
Olivares,Julian,Julian Olivares
Oliver,Mary,Mary Oliver
Ondaatje,Michael,Michael Ondaatje
Oppenheim,E. Phillips,E. Phillips Oppenheim
Orczy,Baroness,Baroness Orczy
Orwell,George,George Orwell
Osborne,John,John Osborne
Ostaijen,Paul van,Paul van Ostaijen
Ostashevsky,Eugene,Eugene Ostashevsky
Oswald,Alice,Alice Oswald
Ovid,,Ovid
Owen,Wilfred,Wilfred Owen
Oz,Amos,Amos Oz
P'Bitek,Okot,Okot P'Bitek
Paine,Thomas,Thomas Paine
Palamas,Kostis,Kostis Palamas
Paolini,Christopher,Christopher Paolini
Papini,Giovanni,Giovanni Papini
Parker,Dorothy,Dorothy Parker
Parks,Suzan-Lori,Suzan-Lori Parks
Parmenides,,Parmenides
Parrington,Vernon L.,Vernon L. Parrington
Parry,Milman,Milman Parry
Pascal,Blaise,Blaise Pascal
Pasternak,Boris Leonidovich,Boris Leonidovich Pasternak
Pasternak,Boris,Boris Pasternak
Pater,Walter,Walter Pater
Paterson,Banjo,Banjo Paterson
Paterson,Katherine,Katherine Paterson
Paton,Alan,Alan Paton
Patron,Susan,Susan Patron
Patterson,James,James Patterson
Paulsen,Gary,Gary Paulsen
Pavese,Cesare,Cesare Pavese
Paz,Octavio,Octavio Paz
Peacock,Thomas Love,Thomas Love Peacock
Pearson,Norman Holmes,Norman Holmes Pearson
Peck,M. Scott,M. Scott Peck
Pepys,Samuel,Samuel Pepys
Perk,Jacques,Jacques Perk
Perse,Saint-John,Saint-John Perse
Pessoa,Fernando,Fernando Pessoa
Peterkin,Julia,Julia Peterkin
Peterson,Roger Tory,Roger Tory Peterson
Petrarca,Francesco,Francesco Petrarca
Picoult,Jodi,Jodi Picoult
Pindar,,Pindar
Pinero,Arthur W.,Arthur W. Pinero
Pinter,Harold,Harold Pinter
Piper,H. Beam,H. Beam Piper
Pirandello,Luigi,Luigi Pirandello
Pirsig,Robert M.,Robert M. Pirsig
Pizan,Christine De,Christine De Pizan
Plaatje,Sol,Sol Plaatje
Plath,Sylvia,Sylvia Plath
Plato,,Plato
Plotinus,,Plotinus
Plutarch,,Plutarch
Pobedonostsev,Konstantin P.,Konstantin P. Pobedonostsev
Poe,Edgar Allan,Edgar Allan Poe
Pohl,Frederik,Frederik Pohl
Polidori,John William,John William Polidori
Pollan,Michael,Michael Pollan
Ponge,Francis,Francis Ponge
Poole,Ernest,Ernest Poole
Pope,Alexander,Alexander Pope
Popper,Karl,Karl Popper
Popper,Sir Karl,Sir Karl Popper
Porter,Eleanor H.,Eleanor H. Porter
Potter,Beatrix,Beatrix Potter
Pound,Ezra,Ezra Pound
Powers,Tim,Tim Powers
Prebble,Lucy,Lucy Prebble
Prevert,Jacques,Jacques Prevert
Prichard,Katharine Susannah,Katharine Susannah Prichard
Priestley,J. B.,J. B. Priestley
Proclus,,Proclus
Procopius,,Procopius
Proudhon,Pierre-Joseph,Pierre-Joseph Proudhon
Proust,Marcel,Marcel Proust
Psycharis,Yiannis,Yiannis Psycharis
Pujol,Oscar,Oscar Pujol
Pullman,Philip,Philip Pullman
Purvis,Sarah Louisa Forten,Sarah Louisa Forten Purvis
Pushkin,Alexander,Alexander Pushkin
Pyle,Howard,Howard Pyle
Pyrrhon,,Pyrrhon
Pythagoras,,Pythagoras
Queneau,Raymond,Raymond Queneau
Quevedo,Francisco de,Francisco de Quevedo
Quiller-Couch,Arthur,Arthur Quiller-Couch
Quincey,Thomas De,Thomas De Quincey
Quine,Willard Van Orman,Willard Van Orman Quine
Raban,Jonathan,Jonathan Raban
Racine,Jean,Jean Racine
Radcliffe,Ann,Ann Radcliffe
Radishchev,Alexander,Alexander Radishchev
Ramanuja,,Ramanuja
Ranciere,Jacques,Jacques Ranciere
Rand,Ayn,Ayn Rand
Rankine,Claudia,Claudia Rankine
Raskin,Ellen,Ellen Raskin
Raspe,Rudolph Erich,Rudolph Erich Raspe
Rawlings,Marjorie Kinnan,Marjorie Kinnan Rawlings
Rawls,John,John Rawls
Rawls,Wilson,Wilson Rawls
Rebeck,Theresa,Theresa Rebeck
Reed,John,John Reed
Reiche,Raul Otero,Raul Otero Reiche
Remarque,Erich Maria,Erich Maria Remarque
Renard,Jules,Jules Renard
Retz,Cardinal de,Cardinal de Retz
Reynolds,Jason,Jason Reynolds
Reynolds,Mack,Mack Reynolds
Reza,Yasmina,Yasmina Reza
Rhodes,Apollonius of,Apollonius of Rhodes
Rhodes,Richard,Richard Rhodes
Rich,Adrienne,Adrienne Rich
Richardson,Dorothy M.,Dorothy M. Richardson
Richardson,Henry Handel,Henry Handel Richardson
Richardson,Samuel,Samuel Richardson
Ricoeur,Paul,Paul Ricoeur
Riggs,Ransom,Ransom Riggs
Rihani,Ameen,Ameen Rihani
Riis,Jacob,Jacob Riis
Rilke,Rainer Maria,Rainer Maria Rilke
Rimbaud,Arthur,Arthur Rimbaud
Rinehart,Mary Roberts,Mary Roberts Rinehart
Riordan,Rick,Rick Riordan
Ritsos,Yannis,Yannis Ritsos
Rizal,JosE,JosE Rizal
Roberts,Nora,Nora Roberts
Rochefoucauld,Francois duc de La,Francois duc de La Rochefoucauld
Rockwell,Carey,Carey Rockwell
Roe,Edward Payson,Edward Payson Roe
Rohmer,Sax,Sax Rohmer
Rolfe,Frederick,Frederick Rolfe
Rolland,Romain,Romain Rolland
Rombauer,Irma S.,Irma S. Rombauer
Ronsard,Pierre,Pierre Ronsard
Roosevelt,Theodore,Theodore Roosevelt
Rorty,Richard,Richard Rorty
Rossetti,Christina Georgina,Christina Georgina Rossetti
Rostand,Edmond,Edmond Rostand
Roud,Gustave,Gustave Roud
Rougemont,Denis de,Denis de Rougemont
Rousseau,Jean-Jacques,Jean-Jacques Rousseau
Rowson,Susanna Haswell,Susanna Haswell Rowson
Roy,Arundhati,Arundhati Roy
Rozanov,Vasily,Vasily Rozanov
Rugge,John,John Rugge
Ruhl,Sarah,Sarah Ruhl
Rumi,Jalal al-Din Muhammad,Jalal al-Din Muhammad Rumi
Ruskin,John,John Ruskin
Russell,Bertrand,Bertrand Russell
Russell,George William,George William Russell
Rutherford,Mark,Mark Rutherford
Rymbu,Galina,Galina Rymbu
Saadi,,Saadi
Saavedra,Miguel de Cervantes,Miguel de Cervantes Saavedra
Sabatini,Rafael,Rafael Sabatini
Sachar,Louis,Louis Sachar
Sachtouris,Miltos,Miltos Sachtouris
Sacks,Oliver,Oliver Sacks
Sagan,Carl,Carl Sagan
Said,Edward W.,Edward W. Said
Saint-Exupery,Antoine de,Antoine de Saint-Exupery
Saint-Simon,Louis de Rouvroy,Louis de Rouvroy Saint-Simon
Salinger,J.D. D.,J.D. D. Salinger
Salten,Felix,Felix Salten
Saltus,Edgar,Edgar Saltus
Salzman,Mark,Mark Salzman
Sanchez,Sonia,Sonia Sanchez
Sand,George,George Sand
Sanger,Margaret,Margaret Sanger
Sankara,,Sankara
Sappho,,Sappho
Sarmiento,Domingo Faustino,Domingo Faustino Sarmiento
Sarraute,Nathalie,Nathalie Sarraute
Sartre,Jean Paul,Jean Paul Sartre
Sartre,Jean-Paul,Jean-Paul Sartre
Sassoon,Siegfried,Siegfried Sassoon
Satrapi,Marjane,Marjane Satrapi
Satre,Jean-Paul,Jean-Paul Satre
Sayers,Dorothy L.,Dorothy L. Sayers
Scheler,Max,Max Scheler
Schelling,Friedrich Wilhelm Joseph,Friedrich Wilhelm Joseph Schelling
Schlink,Bernhard,Bernhard Schlink
Schopenhauer,Arthur,Arthur Schopenhauer
Schoultz,Solveig von,Solveig von Schoultz
Schreber,Daniel Paul,Daniel Paul Schreber
Schumacher,E. F.,E. F. Schumacher
Schumpeter,Joseph A.,Joseph A. Schumpeter
Schweitzer,Albert,Albert Schweitzer
Scott,Sir Walter,Sir Walter Scott
Scott,Walter,Walter Scott
Scotus,Duns,Duns Scotus
Scotus,John Duns,John Duns Scotus
Seacole,Mary,Mary Seacole
Sebald,W. G.,W. G. Sebald
Sebastian,Mihail,Mihail Sebastian
Sebold,Alice,Alice Sebold
Sedaris,David,David Sedaris
Seferis,George,George Seferis
Seidel,Frederick,Frederick Seidel
Selden,George,George Selden
Sellars,Wilfrid,Wilfrid Sellars
Seneca,,Seneca
Seneca,Lucius Annaeus,Lucius Annaeus Seneca
Senesh,Hannah,Hannah Senesh
Senghor,Leopold Sedar,Leopold Sedar Senghor
Serna,Ramon Gomez de la,Ramon Gomez de la Serna
Serote,Mongane Wally,Mongane Wally Serote
Service,Robert W.,Robert W. Service
Sevigne,Marie de Rabutin-Chantal marquise de,Marie de Rabutin-Chantal marquise de Sevigne
Sewell,Anna,Anna Sewell
Shaara,Michael,Michael Shaara
Shabaan,Robert Bin,Robert Bin Shabaan
Shackleton,Ernest,Ernest Shackleton
Shafak,Elif,Elif Shafak
Shaffer,Peter,Peter Shaffer
Shakespeare,William,William Shakespeare
Shan,Han,Han Shan
Shange,Ntozake,Ntozake Shange
Shanley,John Patrick,John Patrick Shanley
Shaw,Bernard,Bernard Shaw
Shaw,George Bernard,George Bernard Shaw
Sheckley,Robert,Robert Sheckley
Shelley,Mary,Mary Shelley
Shelley,Percy Bysshe,Percy Bysshe Shelley
Shepard,Sam,Sam Shepard
Sheridan,Richard B.,Richard B. Sheridan
Sheridan,Richard Brinsley,Richard Brinsley Sheridan
Shevchenko,Taras,Taras Shevchenko
Shikibu,Murasaki,Murasaki Shikibu
Shilts,Randy,Randy Shilts
Shinran,,Shinran
Shirer,William L.,William L. Shirer
Shonagon,Sei,Sei Shonagon
Sidney-Fryer,Donald,Donald Sidney-Fryer
Sienkiewicz,Henryk,Henryk Sienkiewicz
Sikelianos,Angelos,Angelos Sikelianos
Silverstein,Shel,Shel Silverstein
Simmons,Dan,Dan Simmons
Simon,Neil,Neil Simon
Sinclair,Upton,Upton Sinclair
Singer,Peter Albert David,Peter Albert David Singer
Sinope,Diogenes Of,Diogenes Of Sinope
Sinopoulos,Takis,Takis Sinopoulos
Siwertz,Sigfrid,Sigfrid Siwertz
Skloot,Rebecca,Rebecca Skloot
Slauerhoff,J. J.,J. J. Slauerhoff
Slessor,Kenneth,Kenneth Slessor
Smart,Elizabeth,Elizabeth Smart
Smith,Adam,Adam Smith
Smith,Alexander McCall,Alexander McCall Smith
Smith,Betty,Betty Smith
Smith,Clark Ashton,Clark Ashton Smith
Smith,Cordwainer,Cordwainer Smith
Smith,E. E.,E. E. Smith
Smith,Patti,Patti Smith
Sobol,Donald J.,Donald J. Sobol
Socrates,,Socrates
Soderberg,Hjalmar,Hjalmar Soderberg
Sologub,Fyodor,Fyodor Sologub
Solomon,Andrew,Andrew Solomon
Solomos,Dionysios,Dionysios Solomos
Solzhenitsyn,Aleksandr Isaevich,Aleksandr Isaevich Solzhenitsyn
Solzhenitsyn,Aleksandr,Aleksandr Solzhenitsyn
Somoza,Jose Carlos,Jose Carlos Somoza
Sontag,Susan,Susan Sontag
Sophocles,,Sophocles
Soseki,Natsume,Natsume Soseki
Sparks,Nicholas,Nicholas Sparks
Speare,Elizabeth George,Elizabeth George Speare
Spencer,Herbert,Herbert Spencer
Spengler,Oswald,Oswald Spengler
Spenser,Edmund,Edmund Spenser
Sperry,Armstrong,Armstrong Sperry
Spiegelman,Art,Art Spiegelman
Spinoza,Baruch de,Baruch de Spinoza
Spinoza,Baruch,Baruch Spinoza
Spinoza,Benedict de,Benedict de Spinoza
Spock,Benjamin,Benjamin Spock
Spyri,Johanna,Johanna Spyri
Stacpoole,H. de Vere,H. de Vere Stacpoole
Stead,Rebecca,Rebecca Stead
Steele,Richard,Richard Steele
Stein,Gertrude,Gertrude Stein
Steinbeck,John,John Steinbeck
Stendhal,,Stendhal
Stephens,James,James Stephens
Stephens,Simon,Simon Stephens
Sterling,George,George Sterling
Sterne,Laurence,Laurence Sterne
Stevens,Wallace,Wallace Stevens
Stevenson,Robert Louis,Robert Louis Stevenson
Stockett,Kathryn,Kathryn Stockett
Stoker,Bram,Bram Stoker
Stoppard,Tom,Tom Stoppard
Stowe,Harriet Beecher,Harriet Beecher Stowe
Strachey,Lytton,Lytton Strachey
Stravinsky,Igor,Igor Stravinsky
Strindberg,August,August Strindberg
Sturm,Terry,Terry Sturm
Styron,William,William Styron
Suetonius,,Suetonius
Sugimoto,Etsu Inagaki,Etsu Inagaki Sugimoto
Sullivan,Alan,Alan Sullivan
Suttner,Bertha von,Bertha von Suttner
Swift,Jonathan,Jonathan Swift
Symons,A. J. A.,A. J. A. Symons
Synge,J. M.,J. M. Synge
Szarkowski,John,John Szarkowski
Szymborska,Wislawa,Wislawa Szymborska
Tacitus,Cornelius,Cornelius Tacitus
Tagore,Rabindranath,Rabindranath Tagore
Tam'si,Tchicaya U.,Tchicaya U. Tam'si
Tan,Amy,Amy Tan
Tarkington,Booth,Booth Tarkington
Tawney,R. H.,R. H. Tawney
Taylor,Mildred D.,Mildred D. Taylor
Taylor,Tom,Tom Taylor
Temperley,Hector Viel,Hector Viel Temperley
Tempest,Kae,Kae Tempest
Tennyson,Alfred Lord,Alfred Lord Tennyson
Tennyson,Alfred,Alfred Tennyson
Terkel,Studs,Studs Terkel
Tey,Josephine,Josephine Tey
Thackeray,William Makepeace,William Makepeace Thackeray
Thayer,Ella Cheever,Ella Cheever Thayer
Theroux,Paul,Paul Theroux
Thiruvalluvar,,Thiruvalluvar
Thomas,Dylan,Dylan Thomas
Thomas,Edward,Edward Thomas
Thompson,E. P.,E. P. Thompson
