`Abd,al-Rahman,Abnudi,,,,,,
Betsy,Cromer,Byars,,,,,,
Betty,Friedan,,,,,,,
Betty,Smith,,,,,,,
Beverly,Cleary,,,,,,,
Blaise,Cendrars,,,,,,,
Blaise,Pascal,,,,,,,
Blaise,Pascal,,,,,,,
Bob,Woodward,,,,,,,
Carl,Bernstein,,,,,,,
Boethius,,,,,,,,
Booker,T.,Washington,,,,,,
Boris,Leonidovich,Pasternak,,,,,,
Boris,Pasternak,,,,,,,
Bram,Stoker,,,,,,,
Brendan,Behan,,,,,,,
Bruce,Catton,,,,,,,
Bruno,Bettelheim,,,,,,,
Bruce,Norris,,,,,,,
By,Jez,Butterworth,,,,,,
Lynn,Nottage,,,,,,,
C.,P.,Cavafy,,,,,,
C.,S.,Lewis,,,,,,
Camara,Laye,,,,,,,
Camilo,Jose,Cela,,,,,,
Cao,Xueqin,,,,,,,
Cardinal,de,Retz,,,,,,
Carl,Jung,,,,,,,
Carl,Sagan,,,,,,,
Carlo,Collodi,,,,,,,
Carlo,Goldoni,,,,,,,
Carlo,Levi,,,,,,,
Carol,Ann,Duffy,,,,,,
Carol,Ryrie,Brink,,,,,,
Carson,McCullers,,,,,,,
Caryl,Churchill,,,,,,,
Catherine,the,Great,,,,,,
Catullus,,,,,,,,
Cesar,Aira,,,,,,,
Cesar,Vallejo,,,,,,,
Cesare,Pavese,,,,,,,
Charles,Baudelaire,,,,,,,
Charles,Darwin,,,,,,,
Charles,De,Gaulle,,,,,,
Charles,Dickens,,,,,,,
Charles,Frazier,,,,,,,
Charlotte,Bronte,,,,,,,
Cheikh,Ahmadou,Bamba,,,,,,
Cheikh,Anta,Diop,,,,,,
Cherrie,Moraga,,,,,,,
Chester,Wilmot,,,,,,,
China,,,,,,,,
China,,,,,,,,
Chinua,Achebe,,,,,,,
Chloe,Moss,,,,,,,
Choderlos,de,Laclos,,,,,,
Christian,Bok,,,,,,,
Christian,Church,,,,,,,
Christina,Georgina,Rossetti,,,,,,
Christine,De,Pizan,,,,,,
Christopher,Marlowe,,,,,,,
Christopher,Okigbo,,,,,,,
Christopher,Paolini,,,,,,,
Christopher,Paul,Curtis,,,,,,
Christopher,Paul,Curtis,,,,,,
Clark,Ashton,Smith,,,,,,
Claude,Levi-Strauss,,,,,,,
Claudia,Rankine,,,,,,,
Claudio,Magris,,,,,,,
Colin,Wilson,,,,,,,
Colleen,McCullough,,,,,,,
Comte,de,Lautreamont,,,,,,
Confucius,,,,,,,,
Constantijn,Huygens,,,,,,,
Cormac,McCarthy,,,,,,,
Cornel,West,,,,,,,
Cornelia,Funke,,,,,,,
Cornelius,Tacitus,,,,,,,
Czeslaw,Milosz,,,,,,,
D.,H.,Lawrence,,,,,,
Dale,Carnegie,,,,,,,
Dan,Brown,,,,,,,
Dan,Simmons,,,,,,,
Daniel,Defoe,,,,,,,
Daniel,Kahneman,,,,,,,
Daniel,Keyes,,,,,,,
Daniel,Paul,Schreber,,,,,,
Dante,Alighieri,,,,,,,
Dante,Alighieri,,,,,,,
Daphne,Du,Maurier,,,,,,
Dashiell,Hammett,,,,,,,
Dave,Eggers,,,,,,,
David,Auburn,,,,,,,
David,Baldacci,,,,,,,
David,Baldacci,,,,,,,
David,Foster,Wallace,,,,,,
David,Guterson,,,,,,,
David,Hare,,,,,,,
David,Hume,,,,,,,
David,Jones,,,,,,,
David,Karena-Holmes,,,,,,,
David,Mamet,,,,,,,
David,Sedaris,,,,,,,
Dee,Alexander,Brown,,,,,,
Denis,de,Rougemont,,,,,,
Denis,Diderot,,,,,,,
Dennis,Kelly,,,,,,,
Derek,Walcott,,,,,,,
Dinos,Christianopoulos,,,,,,,
Dionysios,Solomos,,,,,,,
Djibril,Tamsir,Niane,,,,,,
Dmitry,Svyatopolk,Mirsky,,,,,,
Domingo,Faustino,Sarmiento,,,,,,
Donald,J.,Sobol,,,,,,
Donald,Sidney-Fryer,,,,,,,
Doris,Kearns,Goodwin,,,,,,
Dorothy,Parker,,,,,,,
Douglas,Adams,,,,,,,
Douglas,Hofstadter,,,,,,,
Douglas,Southall,Freeman,,,,,,
Du,Fu,,,,,,,
Dylan,Thomas,,,,,,,
E.,B.,White,,,,,,
William,Strunk,Jr.,,,,,,
E.,E.,Cummings,,,,,,
E.,F.,Schumacher,,,,,,
E.,M.,Forster,,,,,,
E.,P.,Thompson,,,,,,
E.,B.,White,,,,,,
E.,L.,Konigsburg,,,,,,
E.,M.,Forster,,,,,,
Edgar,Allan,Poe,,,,,,
Edgar,Allan,Poe,,,,,,
Edgar,Lee,Masters,,,,,,
Edith,Hamilton,,,,,,,
Edith,Wharton,,,,,,,
Edith,Wharton,,,,,,,
Edith,Wharton,,,,,,,
Edmond,Jabes,,,,,,,
Edmond,Jabes,,,,,,,
Edmond,Rostand,,,,,,,
Edmond,Rostand,,,,,,,
Edmund,Burke,,,,,,,
Edmund,Crispin,,,,,,,
Edmund,Husserl,,,,,,,
Edmund,Spenser,,,,,,,
Edmund,Wilson,,,,,,,
Edna,Lewis,,,,,,,
Edna,St.,Vincent,Millay,,,,,
Edna,St.,Vincent,Millay,,,,,
Edward,Abbey,,,,,,,
Edward,Albee,,,,,,,
Edward,Bellamy,,,,,,,
Edward,Bulwer,Lytton,,,,,,
Edward,FitzGerald,,,,,,,
Edward,Gibbon,,,,,,,
Edward,Thomas,,,,,,,
Edward,W.,Said,,,,,,
Edwin,A.,Abbott,,,,,,
Ekaterina,Romanovna,Dashkova,,,,,,
Elias,Canetti,,,,,,,
Elias,Canetti,,,,,,,
Elias,Lonnrot,,,,,,,
Elie,Wiesel,,,,,,,
Elif,Shafak,,,,,,,
Eliot,Weinberger,,,,,,,
Elizabeth,Acevedo,,,,,,,
Elizabeth,Bishop,,,,,,,
Elizabeth,Bishop,,,,,,,
Elizabeth,Bishop,,,,,,,
Elizabeth,Caffin,,,,,,,
Terry,Sturm,,,,,,,
Elizabeth,Cleghorn,Gaskell,,,,,,
Elizabeth,Gaskell,,,,,,,
Elizabeth,George,Speare,,,,,,
Elizabeth,Kolbert,,,,,,,
Elizabeth,Smart,,,,,,,
Ellen,Raskin,,,,,,,
Emil,Cioran,,,,,,,
Emil,Cioran,,,,,,,
